                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8305,                 2.5364,                 1.1404,                0.16231,                0.25836,                0.19666,                0.07672,                    nan,                    nan,                    nan,               0.067019,             0.00033314,             0.00033314
                      1,                 1.6893,                 2.0477,                  1.104,                0.26787,                0.31143,                0.24345,                0.09887,                    nan,                    nan,                    nan,               0.033986,             0.00063348,             0.00063348
                      2,                 1.6539,                 1.9402,                 1.0812,                0.29781,                0.34762,                0.26744,                0.10536,                    nan,                    nan,                    nan,             0.00092039,             0.00090082,             0.00090082
                      3,                 1.6303,                  1.917,                  1.082,                0.31013,                 0.3383,                0.25994,                 0.1073,                    nan,                    nan,                    nan,              0.0008515,              0.0008515,              0.0008515
                      4,                 1.6229,                 1.8008,                  1.071,                0.28291,                0.34869,                0.27114,                 0.1132,                    nan,                    nan,                    nan,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.6022,                 1.7949,                 1.0653,                0.28739,                0.34792,                0.26678,                 0.1098,                    nan,                    nan,                    nan,               0.000802,               0.000802,               0.000802
                      6,                 1.5684,                 1.7544,                 1.0659,                0.29984,                 0.3561,                0.27663,                0.11952,                    nan,                    nan,                    nan,              0.0007525,              0.0007525,              0.0007525
                      7,                 1.5639,                 1.7159,                 1.0509,                0.30507,                0.35055,                0.28858,                0.12612,                    nan,                    nan,                    nan,               0.000703,               0.000703,               0.000703
                      8,                 1.5497,                 1.7028,                 1.0454,                0.38468,                0.38938,                0.29667,                0.12621,                    nan,                    nan,                    nan,              0.0006535,              0.0006535,              0.0006535
                      9,                 1.5258,                 1.6512,                 1.0377,                0.29117,                0.34597,                0.27026,                0.11539,                    nan,                    nan,                    nan,               0.000604,               0.000604,               0.000604
                     10,                 1.5324,                 1.6343,                 1.0364,                0.35564,                0.29806,                0.28681,                0.12742,                    nan,                    nan,                    nan,              0.0005545,              0.0005545,              0.0005545
                     11,                 1.5302,                 1.5948,                 1.0263,                0.27651,                0.33496,                0.28302,                0.12072,                    nan,                    nan,                    nan,               0.000505,               0.000505,               0.000505
                     12,                  1.498,                 1.5581,                 1.0192,                 0.2921,                0.33533,                0.28879,                0.12743,                    nan,                    nan,                    nan,              0.0004555,              0.0004555,              0.0004555
                     13,                 1.4815,                 1.5491,                 1.0173,                0.28064,                0.36057,                0.28291,                0.12049,                    nan,                    nan,                    nan,               0.000406,               0.000406,               0.000406
                     14,                  1.468,                 1.5223,                  1.011,                0.26969,                0.30495,                0.27872,                0.12137,                    nan,                    nan,                    nan,              0.0003565,              0.0003565,              0.0003565
                     15,                 1.4593,                 1.4929,                0.99724,                0.31528,                0.37063,                 0.2996,                0.13469,                    nan,                    nan,                    nan,               0.000307,               0.000307,               0.000307
                     16,                 1.4447,                 1.4841,                 1.0006,                0.30848,                0.35984,                0.30558,                0.13283,                    nan,                    nan,                    nan,              0.0002575,              0.0002575,              0.0002575
                     17,                 1.4378,                  1.431,                0.99276,                 0.3134,                0.36354,                 0.3005,                0.13606,                    nan,                    nan,                    nan,               0.000208,               0.000208,               0.000208
                     18,                 1.4099,                 1.4379,                0.97961,                0.32027,                0.36937,                0.31581,                0.14458,                    nan,                    nan,                    nan,              0.0001585,              0.0001585,              0.0001585
                     19,                 1.4028,                 1.4106,                0.97825,                0.31839,                0.37778,                0.31096,                0.14304,                    nan,                    nan,                    nan,               0.000109,               0.000109,               0.000109
